title,date_str,siteName,sentiment,pageUrl,author
"Czech teacher acquitted after telling students ""war not real""",d2023-06-23T12:34:22,euronews,-0.83,https://www.euronews.com/2023/06/23/czech-teacher-acquitted-after-telling-students-war-not-real,Jiri Skacel & Rory Elliott Armstrong
Shakhtar Donetsk's wartime title shows Ukrainians won't allow normal life to be taken away,d2023-06-22T14:18:18,euronews,0.0,https://www.euronews.com/2023/06/22/shakhtar-donetsks-wartime-title-shows-ukrainians-wont-allow-normal-life-to-be-taken-away,David Kirichenko
"Germany to meet 2% NATO spending threshold next year, Scholz announces",d2023-06-22T11:02:22,euronews,-0.382,https://www.euronews.com/2023/06/22/germany-to-meet-2-nato-spending-threshold-next-year-scholz-announces,Euronews & AFP
"US to meet with Ukraine war sceptics like India, South Africa and Brazil to drum up support",d2023-06-22T09:17:29,euronews,0.0,https://www.euronews.com/2023/06/22/us-to-meet-with-ukraine-war-sceptics-like-india-south-africa-and-brazil-to-drum-up-support,Sudesh Baniya
The myth far-right zealots run Ukraine is Russian propaganda,d2023-06-20T14:15:06,euronews,-0.287,https://www.euronews.com/2023/06/20/the-myth-far-right-zealots-run-ukraine-is-russian-propaganda,Alexander Ritzmann
"Ukraine war: African peace plan, counteroffensive casualties, flooding death toll",d2023-06-18T14:12,euronews,-0.212,https://www.euronews.com/video/2023/06/18/ukraine-war-african-peace-plan-nato-membership-flooding-death-toll,Euronews & AFP/AP
Ramaphosa arrives in Ukraine to promote African peace plan,d2023-06-16T08:38:57,euronews,-0.342,https://www.euronews.com/2023/06/16/ramaphosa-arrives-in-ukraine-to-promote-african-peace-plan,Euronews & AFP
Zaporizhzhia nuclear plant situation 'serious but stabilising' says IAEA chief,d2023-06-15T14:52:44,euronews,-0.555,https://www.euronews.com/2023/06/15/zaporizhzhia-nuclear-plant-situation-serious-but-stabilising-says-iaea-chief,Euronews & AFP
Stoltenberg: NATO support for Ukraine making difference on the battlefield,d2023-06-15T13:52:38,euronews,0.0,https://www.euronews.com/2023/06/15/stoltenberg-nato-support-for-ukraine-making-difference-on-the-battlefield,Euronews & AFP
"Ukraine war: Counteroffensive 'progressing', Odesa strikes, Western tanks 'burning' Putin claims",d2023-06-14T06:48:53,euronews,-0.548,https://www.euronews.com/2023/06/14/ukraine-war-counteroffensive-progressing-odesa-strikes-western-tanks-burning-putin-claims,Euronews & AFP/AP
"Silvio Berlusconi’s death draws tributes, even from critics, in Italy and beyond",d2023-06-13T15:34:24,euronews,0.265,https://www.euronews.com/2023/06/13/silvio-berlusconis-death-draws-tributes-even-from-critics-in-italy-and-beyond,Euronews & AP
South Africa grants Putin immunity despite international arrest warrant,d2023-05-31T15:16:53,euronews,-0.363,https://www.euronews.com/2023/05/31/south-africa-grants-putin-immunity-despite-international-arrest-warrant,Una Hajdari
The EU to double its firefighting capacity ahead of 'intense' summer,d2023-05-29T22:27:49,euronews,-0.16,https://www.euronews.com/2023/05/29/the-eu-to-double-its-firefighting-capacity-ahead-of-intense-summer,Euronews & AFP
"Ukraine war: Kyiv continues to be targeted, Russia's 'provocation', Prigozhin's latest address",d2023-05-29T08:11:22,euronews,-0.71,https://www.euronews.com/2023/05/29/ukraine-war-kyiv-continues-to-be-targeted-russias-provocation-prigozhins-latest-address,Euronews & AFP/AP
Ukraine war: Two killed in Kyiv after Russia launches 'record drone attack' on capital,d2023-05-28T10:29,euronews,-0.556,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LmV1cm9uZXdzLmNvbS8yMDIzLzA1LzI3L3VrcmFpbmUtd2FyLWt5aXYtcmVxdWVzdHMtZ2VybWFuLW1pc3NpbGVzLWFzLWNvdW50ZXItb2ZmZW5zaXZlLWxvb21z0gEA,Euronews & AFP/AP
'Ukraine war' is not good enough. Let’s call it what it is: Russia’s illegal invasion,d2023-05-25T15:31:54,euronews,0.0,https://www.euronews.com/2023/05/25/ukraine-war-is-not-good-enough-lets-call-it-what-it-is-russias-illegal-invasion,Ane Mestvedthagen
UK immigration hits record high despite Brexit promises,d2023-05-25T11:06:51,euronews,0.0,https://www.euronews.com/2023/05/25/uk-immigration-hits-record-high-despite-brexit-promises,Sudesh Baniya
"Ukraine war: More Russian border raids loom, Africa urged to ditch 'neutrality', drone attacks",d2023-05-25T07:06:36,euronews,-0.534,https://www.euronews.com/2023/05/25/ukraine-war-more-russian-border-raids-loom-africa-urged-to-ditch-neutrality-drone-attacks,Euronews & AFP/AP
Hungary's Viktor Orban claims 'poor Ukrainians' wont win war against Russia,d2023-05-24T09:52:54,euronews,-0.536,https://www.euronews.com/2023/05/24/hungarys-viktor-orban-claims-poor-ukrainians-wont-win-war-against-russia,Sudesh Baniya
"Ukraine war: US denies involvement in Russia raid, Americans support giving arms, Evan Gershkovich",d2023-05-24T06:20:19,euronews,-0.672,https://www.euronews.com/2023/05/24/ukraine-war-us-denies-involvement-in-russia-attack-us-public-support-evan-gershkovich,Euronews & AFP/AP
"Curing the ""enlargement blues"" - a top priority for the EU",d2023-05-23T13:56:34,euronews,0.0,https://www.euronews.com/2023/05/23/curing-the-enlargement-blues-a-top-priority-for-the-eu,Euronews affiliates
Hungary continues to block release of EU military funds for Ukraine,d2023-05-23T08:53:01,euronews,-0.456,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmV1cm9uZXdzLmNvbS9teS1ldXJvcGUvMjAyMy8wNS8yMy9odW5nYXJ5LWNvbnRpbnVlcy10by1ibG9jay1yZWxlYXNlLW9mLWV1LW1pbGl0YXJ5LWZ1bmRzLWZvci11a3JhaW5l0gEA,Euronews
'Battle not over': Ukrainian military hits back at Russia's claims it captured Bakhmut,d2023-05-22T05:50:39,euronews,-0.491,https://www.euronews.com/2023/05/22/battle-not-over-ukrainian-military-hits-back-at-russias-claims-it-captured-bakhmut,Euronews & AP
Russian prime minister heading to Beijing for talks next week,d2023-05-19T16:18:07,euronews,0.0,https://www.euronews.com/2023/05/19/russian-prime-minister-heading-to-beijing-for-talks-next-week,Euronews
Celebrities wear the Vyshyvanka in support of Ukraine,d2023-05-19T15:19:10,euronews,0.523,https://www.euronews.com/culture/2023/05/19/celebrities-wear-the-vyshyvanka-in-support-of-ukraine,Doloresz Katanich with AFP
Council of Europe leaders agree to set up Register of damage for Ukraine,d2023-05-17T17:02:25,euronews,0.0,https://www.euronews.com/my-europe/2023/05/17/council-of-europe-leaders-agree-to-set-up-register-of-damage-for-ukraine,Isabel Marques da Silva
Russia's Dmitry Medvedev claims Baltic countries belong to Russia,d2023-05-17T17:00:36,euronews,-0.495,https://www.euronews.com/2023/05/17/russias-dmitry-medvedev-claims-baltic-countries-belong-to-russia,Joshua Askew
Poland takes first delivery of US-made HIMARS rocket launchers amid concerns over Ukraine war,d2023-05-16T09:55:24,euronews,0.283,https://www.euronews.com/2023/05/16/poland-takes-first-delivery-of-us-made-himars-rocket-launchers-amid-concerns-over-ukraine-,Euronews
Military honours for President Zelenskyy as he arrives in Germany to discuss arms supplies,d2023-05-14T08:25:31,euronews,0.296,https://www.euronews.com/2023/05/14/military-honours-for-president-zelenskyy-as-he-arrives-in-germany-to-discuss-arms-supplies,AP
Ukraine claims advance in Bakhmut as President Zelenskyy arrives in Berlin,d2023-05-14T06:59:44,euronews,0.0,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmV1cm9uZXdzLmNvbS8yMDIzLzA1LzE0L3VrcmFpbmUtY2xhaW1zLWFkdmFuY2UtaW4tYmFraG11dC1hcy1wcmVzaWRlbnQtemVsZW5za3l5LWFycml2ZXMtaW4tYmVybGlu0gEA,Euronews & AP/AFP
Ukraine claims advance in Bakhmut as Russian strike 'kills two',d2023-05-13T13:52:07,euronews,-0.507,https://www.euronews.com/2023/05/13/ukraine-boasts-of-new-gains-in-bakhmut-as-russia-decries-missile-strike,Euronews with AFP
Zelenskyy barred from giving Eurovision Song Contest message,d2023-05-12T07:24:25,euronews,-0.631,https://www.euronews.com/culture/2023/05/12/zelenskyy-barred-from-eurovision-song-contest,Joshua Askew
UPDATED: Where can I travel in Europe? A list of COVID entry rules for every European country,d2023-05-10T00:00,euronews,-0.318,https://www.euronews.com/travel/2021/11/25/what-s-the-latest-on-european-travel-restrictions,Hannah Brown & Euronews Travel
Moscow's Hand: How does information warfare affect the politics of Russia's neighbours?,d2023-05-06T13:12,euronews,-0.43,https://www.euronews.com/2023/06/05/moscows-hand-how-does-information-warfare-affect-the-politics-of-russias-neighbours,Andrey Poznyakov
EU gives extra €40 million loan to Moldova,d2023-05-05T13:27:53,euronews,0.457,https://www.euronews.com/2023/05/05/eu-gives-extra-40-million-loan-to-moldova,Euronews
Ukraine war: A month-by-month timeline of the conflict so far,d2023-05-04T00:00,euronews,-0.552,https://www.euronews.com/amp/2022/12/30/ukraine-war-a-month-by-month-timeline-of-the-conflict-in-2022,Joshua Askew
"The shrapnel keyring showing Russian ""barbarity"" made by Ukrainian children",d2023-04-28T18:49:26,euronews,-0.677,https://www.euronews.com/2023/04/28/the-shrapnel-keyring-showing-russian-barbarity-made-by-ukrainian-children,Euronews
'Unissued Diplomas' honours the stories of 36 Ukrainian students killed in the war,d2023-04-26T10:30:56,euronews,0.338,https://www.euronews.com/culture/2023/04/26/unissued-diplomas-honours-the-stories-of-36-ukrainian-students-killed-in-the-war,Gael Camba
Irish Eurovision hopefuls Wild Youth cut ties with creative director over anti-trans tweets,d2023-04-26T09:05:48,euronews,0.0,https://www.euronews.com/culture/2023/04/26/irish-eurovision-hopefuls-wild-youth-cut-ties-with-creative-director-over-anti-trans-tweet,David Mouriquand
"Two killed, 10 wounded as Russian forces hit Ukrainian museum",d2023-04-26T08:59:19,euronews,-0.831,https://www.euronews.com/2023/04/26/two-killed-10-wounded-as-russian-forces-hit-ukrainian-museum,David Mouriquand
Russian air strike on Ukrainian museum kills one and injures 10 more,d2023-04-25T13:35:13,euronews,-0.708,https://www.euronews.com/2023/04/25/russian-air-strike-on-ukrainian-museum-kills-one-and-injures-10-more,Euronews with AP
"Ukraine EU entry negotiations should start this year, urges Estonian PM",d2023-04-25T08:22:25,euronews,0.0,https://www.euronews.com/2023/04/25/ukraine-eu-entry-negotiations-should-start-this-year-urges-estonian-pm,Euronews with AFP
Britain's GCHQ intelligence agency getting first female chief,d2023-04-11T00:00,euronews,0.4,https://www.euronews.com/2023/04/11/britains-gchq-intelligence-agency-getting-first-female-chief,Euronews
"'Opre Roma': Tired of being let down, Roma are now standing up for themselves",d2023-04-08T10:05:18,euronews,0.0,https://t.co/BL5UVTc57G,Željko Jovanović
Europe's week: Von der Leyen and Macron visit China,d2023-04-07T15:35:49,euronews,-0.343,https://www.euronews.com/my-europe/2023/04/07/europes-week-von-der-leyen-and-macron-visit-china,Stefan Grobe
Twenty injured in missile attack on Dnipro as Zelenskyy accuses Russia of targeting civilians,d2023-04-06T07:17,euronews,-0.52,https://www.euronews.com/2023/06/04/twenty-injured-in-missile-attack-on-dnipro-as-zelenskyy-accuses-russia-of-targeting-civili,Euronews with AFP & AP
Denmark to spend billions on modernising defence forces and ramping up NATO commitment,d2023-04-05T18:05,euronews,0.0,https://www.euronews.com/2023/05/04/denmark-to-spend-billions-on-modernising-defence-forces-and-ramping-up-nato-commitment,Euronews with AFP
